Component,File / Artifact,Claim or Feature,Classification,Evidence / Audit Finding,Target Fix Status
Configuration,src/config.py,Hardcoded mainnet mutating order lock,SOURCE_VERIFIED,mainnet_order_lock=True present in config schema,PASS
Authentication,src/auth.py,Scheme 1 & Scheme 2 Ed25519 payload signing,TEST_VERIFIED,test_auth_and_signing.py verifies deterministic signatures against RFC 8032,PASS
REST Client,src/rest_client.py,Mainnet mutating order lock check,SOURCE_VERIFIED,Line 261 raises RuntimeError on mainnet mutation,PASS
WebSocket Client,src/ws_client.py,WebSocket rpc_post mainnet order lock,BROKEN,rpc_post sends mutating requests without checking mainnet_order_lock,P0 Blocker (Phase 8 Fix)
Continuous Recorder,src/recorder.py,Sequence gap mid-stream handling,BROKEN,Logs warning and updates last_seq; fails to invalidate book or resync from snapshot,P0 Blocker (Phase 9 Fix)
Continuous Recorder,src/recorder.py,Trade deduplication across multi-trade frame,BROKEN,Only inspects contents[0]; drops multi-trade frames or misses duplicates,P0 Blocker (Phase 9 Fix)
Orderbook,src/orderbook.py,L2 Orderbook reconstruction from snapshot and deltas,TEST_VERIFIED,tests/arcus_orderbook_sequence verifies snapshot and deltas,PASS
Fill Models,src/models/fill.py,Deterministic Fill Monotonicity (A >= B >= C),TEST_VERIFIED,test_fill_monotonicity passes; mutation check confirmed sensitive,PASS
Queue Model,src/models/fill.py,FIFO queue depletion and modify priority,SIMULATOR_ONLY,SimulatedQueueOrder implements FIFO depletion; venue unverified,PASS
Rate Limiter,src/models/rate_limit.py,Placement vs modify action separation,BROKEN,Uses modify methods for initial quotes; does not track PLACE vs MODIFY,P0 Blocker (Phase 3 Fix)
Rate Limiter,src/models/rate_limit.py,Exhausted pool time-based drip,BROKEN,Docstring mentions 1 action per 10s but no actual drip logic is implemented,P0 Blocker (Phase 3 Fix)
Rate Limiter,src/models/rate_limit.py,Pool status query API (get_pool_status),BROKEN,get_pool_status() is missing; crashes paper trader telemetry,P0 Blocker (Phase 2 Fix)
Rate Limiter,src/models/rate_limit.py,Starting capacities (20k order / 40k cancel),DOCS_ONLY,Derived from Arcus venue documentation; unprobed on testnet/mainnet,PASS
Latency Model,src/models/latency.py,Empirical host RTT distribution sampling,DATA_VERIFIED,Measured from live REST and WS p50/p95 samples in reports/latency_raw_samples.jsonl,PASS
PnL Engine,src/models/pnl.py,Accounting identity verification,TEST_VERIFIED,test_pnl_accounting_identity passes; Cash + Pos * Mid - Fees == Equity,PASS
PnL Engine,src/models/pnl.py,record_fill parameter signature,BROKEN,backtester passes adverse_selection_bps=1.0 but record_fill does not accept it,P0 Blocker (Phase 2 Fix)
PnL Engine,src/models/pnl.py,Time-aware continuous funding engine,BROKEN,Only applies a single flat funding rate at end of run; does not track hourly ticks,P0 Blocker (Phase 5 Fix)
